Step,Active_Loads,Completed_Loads,Expired_Loads,Coverage_Rate,Total_Revenue,Total_Cost,Total_Penalties,Broker_Profit,Available_Carriers,Average_Carrier_Revenue,Consecutive_Failures,Week,Profit_Margin,Load_Success_Rate
14,0,19,0,1.0,11061.667199093,5251.279999999999,0,5810.387199093002,20,262.56399999999996,0,0,52.527228441382,1.0
15,0,19,0,1.0,11061.667199093,5251.279999999999,0,5810.387199093002,20,262.56399999999996,0,0,52.527228441382,1.0
16,0,19,0,1.0,11061.667199093,5251.279999999999,0,5810.387199093002,20,262.56399999999996,0,0,52.527228441382,1.0
17,0,19,0,1.0,11061.667199093,5251.279999999999,0,5810.387199093002,20,262.56399999999996,0,0,52.527228441382,1.0
18,0,19,0,1.0,11061.667199093,5251.279999999999,0,5810.387199093002,20,262.56399999999996,0,0,52.527228441382,1.0
19,0,20,0,1.0,11685.596728620356,5484.809999999999,0,6200.786728620357,20,274.2405,0,0,53.063500928740716,1.0
20,0,20,0,1.0,11685.596728620356,5484.809999999999,0,6200.786728620357,20,274.2405,0,0,53.063500928740716,1.0
21,0,21,0,1.0,12281.944095855815,5684.879999999998,0,6597.064095855817,20,284.244,0,0,53.713516723153006,1.0
22,0,22,0,1.0,12898.08341215655,5922.279999999998,0,6975.8034121565515,20,296.114,0,0,54.08403085362124,1.0
23,0,23,0,1.0,13502.678164471325,6341.149999999998,0,7161.528164471327,20,317.0575,0,0,53.03783499272735,1.0
24,0,24,0,1.0,14051.662442257273,6624.429999999998,0,7427.232442257276,20,331.2215,0,0,52.85661018956386,1.0
25,0,24,0,1.0,14051.662442257273,6624.429999999998,0,7427.232442257276,20,331.2215,0,0,52.85661018956386,1.0
26,0,25,0,1.0,14596.975593253603,6875.129999999997,0,7721.845593253605,20,343.7565,0,0,52.9003117387034,1.0
27,0,26,0,1.0,15195.933146770294,7137.949999999997,0,8057.983146770297,20,356.8975,0,0,53.027234780135366,1.0
28,0,26,0,1.0,15195.933146770294,7137.949999999997,0,8057.983146770297,20,356.8975,0,0,53.027234780135366,1.0
29,0,26,0,1.0,15195.933146770294,7137.949999999997,0,8057.983146770297,20,356.8975,0,0,53.027234780135366,1.0
30,0,26,0,1.0,15195.933146770294,7137.949999999997,0,8057.983146770297,20,356.8975,0,0,53.027234780135366,1.0
31,0,27,0,1.0,15786.091729675702,7314.5099999999975,0,8471.581729675705,20,365.7255,0,0,53.66484545221719,1.0
32,0,28,0,1.0,16366.351524683552,7594.639999999998,0,8771.711524683555,20,379.732,0,0,53.596010763022875,1.0
33,0,28,0,1.0,16366.351524683552,7594.639999999998,0,8771.711524683555,20,379.732,0,0,53.596010763022875,1.0
34,0,29,0,1.0,16966.150367765527,7889.929999999998,0,9076.22036776553,20,394.4965,0,0,53.49605049481172,1.0
